"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"美容所","美容室　ティンカーベル","761-0102","高松市新田町甲２１４５−９",,"野口　和能",,,,,,"第2-1号","H02.05.15"
"美容所","ＬｏＶｅ　ｈａｉｒ　Ｗｉｎｋ　（ラブ・ヘア・ウインク）","760-0015","高松市紫雲町３−２４",,"東谷　直樹",,,,,,"第2-3号","H02.05.23"
"美容所","アオイ理容所美容部","760-0068","高松市松島町二丁目７番６号",,"有限会社　アオイ理容所","代表取締役","稲毛　実","香川県","高松市栗林町二丁目４番１１号",,"第2-5号","H02.06.14"
"美容所","サロンドボーテ　のぐち","761-0104","高松市高松町９−１２",,"野口　富子",,,,,,"第2-6号","H02.06.21"
"美容所","有限会社　びようしつすがざわ","760-0004","高松市西宝町三丁目８番１２号",,"有限会社　びようしつすがざわ","代表取締役","菅澤　等","香川県","高松市西宝町三丁目８番１２号",,"第2-7号","H02.06.25"
"美容所","ハナザキ美容室","760-0068","高松市松島町二丁目１１−９",,"花崎　ルリ子",,,,,,"第2-10号","H02.07.23"
"美容所","美容室　　茜","760-0003","高松市西町２１番１９号",,"岡　安江",,,,,,"第2-16号","H02.11.02"
"美容所","有限会社　ビューティ・サロンみぞぶち","761-0312","高松市東山崎町５３８番地２",,"有限会社　ビューティ・サロンみぞぶち","代表取締役","溝渕　史朗","香川県","高松市東山崎町５３８番地２",,"第2-17号","H02.11.06"
"美容所","うえた美容室","760-0054","高松市常磐町二丁目３−３４",,"植田　妙子",,,,,,"第2-19号","H02.11.16"
"美容所","有限会社　トータルビューティサロン　オカモト","761-0104","高松市高松町２１４７番地２５",,"有限会社　トータルビューティサロン　オカモト","代表取締役","十川　朋世","香川県","高松市高松町２１４７番地２５",,"第2-25号","H03.02.25"
"美容所","有限会社　レテ・アイリス","760-0048","高松市福田町９番地１５",,"有限会社　レテ・アイリス","代表取締役","竹村圭介","香川県","高松市古馬場町１４−２２",,"第2-26号","H03.02.27"
"美容所","ビューティサロン野間","761-8078","高松市仏生山町甲３６３番地１４",,"有限会社　アイコ　コーポレーション","代表取締役","野間　愛子","香川県","高松市仏生山町甲３６３番地１４",,"第3-2号","H03.04.04"
"美容所","美容室ビジョン","760-0002","高松市茜町３−１２","香西ビル２階","半田　孝",,,,,,"第3-3号","H03.04.11"
"美容所","美容室ゼロ","760-0051","高松市南新町１０番地３",,"有限会社　美容室ゼロ","代表取締役","入倉　利一","香川県","高松市南新町１０番地３",,"第3-5号","H03.05.07"
"美容所","パーマ・ハウス・リヨン","761-0311","高松市元山町９８６−３",,"今田　恵子",,,,,,"第3-7号","H03.05.17"
"美容所","ユートピア美容室","761-0321","高松市前田西町２−７",,"森田　千枝子",,,,,,"第3-10号","H03.06.21"
"美容所","美容室ラピス","761-8064","高松市上之町三丁目１０−２５","２０１","星川　芙美",,,,,,"第3-11号","H03.06.28"
"美容所","美容室さかもと","760-0017","高松市番町五丁目１番１１号",,"有限会社　美容室さかもと","代表取締役","坂本　勝","香川県","高松市番町五丁目１番１１号",,"第3-15号","H03.08.12"
"美容所","いちごハウス","760-0050","高松市亀井町１０−１５","吉幸一ビル２０２","大平　和男",,,,,,"第3-16号","H03.08.23"
"美容所","美容室エスコア","761-0322","高松市前田東町１２１０−６",,"川上　泰司",,,,,,"第3-17号","H03.08.23"
"美容所","Ａｍｉｘ　ＦＵＪＩＴＳＵＫＡ","760-0071","高松市藤塚町６番地２５",,"Ａｍａｒｅ株式会社","代表取締役","熊野　正英","香川県","高松市藤塚町６番地２５",,"第3-18号","H03.08.27"
"美容所","ショーバコ","761-8041","高松市檀紙町７９８−１",,"正箱　純子",,,,,,"第3-20号","H03.10.08"
"美容所","美容室　Ａｍｉｅ","761-8084","高松市一宮町３２０番地１","ピカデリーワキ","長井　徹",,,,,,"第3-24号","H03.11.08"
"美容所","ビューティサロン　Ｊ＆Ｓ","761-0123","高松市牟礼町原５６−１２",,"秋田　碇子",,,,,,"第3-28号","H04.02.24"
"美容所","えつこビューティーサロン","769-0101","高松市国分寺町新居１１６２−３",,"猪口　悦子",,,,,,"第3-9号","H04.03.13"
"美容所","うのは美容室","769-0103","高松市国分寺町福家甲４２０−４",,"松本　美弥子",,,,,,"第3-10号","H04.03.25"
